name,description,rarity,card_type,color,expansion,base_points,notes
Farm,Production building that generates berries,common,construction,green,base,1,
Mine,Production building that generates pebbles,common,construction,green,base,2,
Twig Barge,Production building that generates twigs,common,construction,green,base,1,
Resin Refinery,Production building that generates resin,common,construction,green,base,1,
Inn,Allows playing a critter at reduced cost,common,construction,blue,base,2,
General Store,Gives resources when playing critters,common,construction,blue,base,1,
Courthouse,Resource bonus building,unique,construction,blue,base,2,
Post Office,Allows exchanging cards with opponents,unique,construction,blue,base,2,
School,Allows drawing cards when playing critters,unique,construction,blue,base,2,
University,Allows discarding cards for resources,unique,construction,blue,base,3,
Storehouse,Stores resources for later gain,common,construction,blue,base,2,
Clock Tower,Allows activating constructions multiple times,unique,construction,blue,base,0,Comes into play with 3 coin tokens on it
Dungeon,Holds critters for points,unique,construction,red,base,0,Scores 3 pts per critter tucked under (max 2)
Cemetery,Allows playing critters from discard,unique,construction,blue,base,0,
Monastery,End game scoring for resources,unique,construction,purple,base,1,Can earn additional VP tokens during play
Chapel,Allows placing berries for points,unique,construction,purple,base,2,Gains a VP token each time a berry is placed
Castle,End game scoring building,unique,construction,purple,base,4,
Palace,Large end game scoring building,unique,construction,purple,base,5,
Theater,Scoring building tied to actors,unique,construction,purple,base,3,
Historian,Draw cards when constructions or critters are played,unique,critter,green,base,1,
Innkeeper,Reduce cost of critters,common,critter,green,base,1,
Judge,Convert resources when paying costs,unique,critter,green,base,2,
Architect,Reduces construction costs,unique,critter,green,base,2,Scores 1 pt per leftover resin and pebble
Shopkeeper,Gains berries when constructions are played,common,critter,green,base,1,
Shepherd,Gains berries from farms,common,critter,green,base,1,
Chip Sweep,Activates green production cards,common,critter,green,base,1,
Wanderer,Draws cards when played,common,critter,tan,base,1,
Postal Pigeon,Allows playing a card from the meadow,unique,critter,blue,base,0,
Teacher,Draw cards when playing critters,unique,critter,blue,base,2,
Doctor,Removes negative effects,unique,critter,blue,base,4,
Ranger,Move workers between locations,unique,critter,blue,base,1,
King,Scores points for events,unique,critter,purple,base,4,Scores additional pts per event achieved
Bard,Discard cards for points,unique,critter,purple,base,0,
Woodcarver,Gains points from twigs,common,critter,purple,base,2,Scores 1 pt per twig (max 3)
Miner Mole,Gains points from pebbles,common,critter,purple,base,1,
Harvester,Gains resources from farms,common,critter,green,base,1,
Monk,Gains berries from opponents,unique,critter,red,base,0,Scores 2 pts per berry given to opponents
Fool,Negative critter played in opponent city,unique,critter,red,base,-2,
Undertaker,Allows discarding meadow cards,unique,critter,red,base,1,
Peddler,Converts resources,common,critter,green,base,1,
